iter	Passed	Remaining
0	68	20477
1	92	13754
2	112	11179
3	133	9846
4	154	9092
5	184	9022
6	203	8529
7	221	8068
8	238	7716
9	257	7459
10	276	7261
11	294	7063
12	311	6884
13	329	6730
14	347	6607
15	365	6482
16	384	6404
17	402	6312
18	421	6226
19	438	6145
20	455	6058
21	473	5977
22	490	5912
23	508	5849
24	526	5792
25	544	5735
26	561	5676
27	578	5623
28	597	5579
29	615	5537
30	633	5493
31	650	5449
32	668	5405
33	686	5369
34	703	5327
35	721	5290
36	739	5255
37	756	5219
38	774	5184
39	792	5149
40	810	5117
41	827	5082
42	844	5048
43	862	5018
44	880	4990
45	898	4960
46	915	4930
47	933	4901
48	952	4881
49	970	4851
50	987	4823
51	1004	4792
52	1021	4761
53	1041	4743
54	1062	4733
55	1083	4721
56	1103	4705
57	1122	4683
58	1141	4661
59	1159	4637
60	1177	4612
61	1195	4589
62	1214	4567
63	1233	4549
64	1251	4523
65	1271	4507
66	1288	4481
67	1306	4457
68	1325	4437
69	1342	4412
70	1361	4391
71	1380	4370
72	1397	4346
73	1415	4322
74	1433	4299
75	1455	4288
76	1472	4265
77	1490	4241
78	1507	4217
79	1524	4192
80	1541	4168
81	1558	4144
82	1576	4120
83	1593	4098
84	1611	4076
85	1629	4055
86	1647	4032
87	1664	4009
88	1682	3988
89	1699	3966
90	1716	3943
91	1734	3921
92	1751	3897
93	1768	3875
94	1787	3857
95	1805	3836
96	1824	3818
97	1842	3798
98	1861	3778
99	1879	3758
100	1896	3737
101	1914	3715
102	1932	3695
103	1955	3685
104	1973	3665
105	1991	3644
106	2009	3624
107	2026	3602
108	2043	3581
109	2061	3561
110	2081	3544
111	2099	3524
112	2118	3505
113	2135	3484
114	2154	3466
115	2173	3447
116	2193	3430
117	2214	3415
118	2235	3400
119	2257	3385
120	2279	3371
121	2300	3357
122	2320	3339
123	2340	3322
124	2359	3303
125	2378	3284
126	2395	3263
127	2413	3243
128	2432	3223
129	2449	3202
130	2465	3181
131	2484	3161
132	2501	3140
133	2519	3120
134	2537	3101
135	2556	3083
136	2577	3066
137	2604	3057
138	2624	3040
139	2643	3020
140	2661	3001
141	2680	2983
142	2701	2966
143	2720	2946
144	2737	2926
145	2755	2906
146	2773	2886
147	2791	2867
148	2809	2847
149	2828	2828
150	2849	2811
151	2868	2792
152	2888	2775
153	2907	2756
154	2925	2736
155	2951	2724
156	2969	2704
157	2989	2686
158	3008	2667
159	3026	2648
160	3044	2628
161	3063	2609
162	3081	2589
163	3099	2570
164	3118	2551
165	3135	2531
166	3152	2510
167	3170	2491
168	3190	2473
169	3208	2453
170	3226	2434
171	3245	2415
172	3263	2396
173	3282	2376
174	3301	2358
175	3320	2339
176	3338	2320
177	3356	2300
178	3374	2280
179	3391	2261
180	3412	2243
181	3432	2225
182	3451	2206
183	3469	2187
184	3487	2167
185	3505	2148
186	3522	2128
187	3539	2108
188	3557	2089
189	3575	2069
190	3593	2050
191	3611	2031
192	3630	2012
193	3652	1995
194	3674	1978
195	3696	1961
196	3720	1945
197	3741	1927
198	3761	1908
199	3779	1889
200	3797	1870
201	3815	1851
202	3834	1832
203	3853	1813
204	3874	1795
205	3894	1777
206	3916	1759
207	3947	1746
208	3969	1728
209	3990	1710
210	4010	1691
211	4030	1672
212	4049	1653
213	4068	1635
214	4086	1615
215	4105	1596
216	4123	1577
217	4142	1558
218	4166	1541
219	4185	1522
220	4204	1503
221	4224	1484
222	4244	1465
223	4263	1446
224	4282	1427
225	4304	1409
226	4324	1390
227	4343	1371
228	4364	1353
